id,room_name,check_in,check_out,guest_name,phone_number,amount
740,"no kids",2023-06-08,2023-06-09,benedizzadf,0837917430,500
740,"no kids",2023-06-08,2023-06-09,benedizzadf,0837917430,434.78
740,"no kids",2023-06-08,2023-06-09,benedizzadf,0837917430,65.22
741,"no kids",2023-06-08,2023-06-09,benedizzadf,0837917430,500
741,"no kids",2023-06-08,2023-06-09,benedizzadf,0837917430,434.78
741,"no kids",2023-06-08,2023-06-09,benedizzadf,0837917430,65.22
746,"no kids",2023-06-08,2023-06-09,benedizzadf,0837917430,500
746,"no kids",2023-06-08,2023-06-09,benedizzadf,0837917430,434.78
746,"no kids",2023-06-08,2023-06-09,benedizzadf,0837917430,65.22
742,Upstairs+King+Room,2023-06-20,2023-06-21,benedizzadf,0837917430,500
742,Upstairs+King+Room,2023-06-20,2023-06-21,benedizzadf,0837917430,434.78
742,Upstairs+King+Room,2023-06-20,2023-06-21,benedizzadf,0837917430,65.22
743,Upstairs+King+Room,2023-06-20,2023-06-21,benedizzadf,0837917430,500
743,Upstairs+King+Room,2023-06-20,2023-06-21,benedizzadf,0837917430,434.78
743,Upstairs+King+Room,2023-06-20,2023-06-21,benedizzadf,0837917430,65.22
744,Upstairs+King+Room,2023-06-22,2023-06-26,benedizzadf,0837917430,2000
744,Upstairs+King+Room,2023-06-22,2023-06-26,benedizzadf,0837917430,1739.13
744,Upstairs+King+Room,2023-06-22,2023-06-26,benedizzadf,0837917430,260.87
748,"no kids",2023-06-24,2023-06-25,benedizzadf,0837917430,500
748,"no kids",2023-06-24,2023-06-25,benedizzadf,0837917430,434.78
748,"no kids",2023-06-24,2023-06-25,benedizzadf,0837917430,65.22
